,Date created,Tweet_ID,Tweet_text,clean_tweet
824,23-07-2020 05:31,1.29E+18,@uncomftrble @bigmilkcartons no the pic of the actual ass worshipper,no the pic of the actual ass worshipper
825,23-07-2020 05:28,1.29E+18,@shada_de_da_dum @bigmilkcartons pulls out ass worshipper,pulls out ass worshipper
826,23-07-2020 05:27,1.29E+18,"I'm litterly so fucking dum
I lost the key from the hospital I had to be capable for this key for one week. And my… https://t.co/Gr1lnCG14p",I'm litterly so fucking dum I lost the key from the hospital I had to be capable for this key for one week. And my… https://t.co/Gr1lnCG14p
827,23-07-2020 05:20,1.29E+18,Then I wouldn’t be alive to read this dum ass question ☺️ https://t.co/CQfmqwfUPE,Then I wouldn’t be alive to read this dum ass question ☺️ https://t.co/CQfmqwfUPE
828,23-07-2020 05:03,1.29E+18,@shada_de_da_dum @bigmilkcartons just wiped my ass and now im eating mac n cheese whats good,just wiped my ass and now im eating mac n cheese whats good
829,24-07-2020 07:02,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
830,24-07-2020 07:01,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
831,24-07-2020 07:01,1.29E+18,Me when im a clown and dumb what the fuck https://t.co/TTi4xmRwTz,Me when im a clown and dumb what the fuck https://t.co/TTi4xmRwTz
832,24-07-2020 07:00,1.29E+18,@RhyKnoPhotos @Jeauxseaux @milehighcane @Chenders70 @9NEWS Its like taking to a dumb fuck wall.,Its like taking to a dumb fuck wall.
833,24-07-2020 06:59,1.29E+18,RT @Slothy34: ngl lowkey hate it when people have every single one of their usernames fucking some dumb shit in japanese like fuck we get i…,RT ngl lowkey hate it when people have every single one of their usernames fucking some dumb shit in japanese like fuck we get i…
834,24-07-2020 06:59,1.29E+18,"RT @ClavierClaus: #YandereDev still has the audacity to deny he's been suicide baiting. So here, have some undeniable proof.

Please stop s…","RT #YandereDev still has the audacity to deny he's been suicide baiting. So here, have some undeniable proof. Please stop s…"
835,24-07-2020 06:58,1.29E+18,This tweet is fucking dumb. How are you gonna go from a guy stating his preference to saying he wouldn't fuck a cru… https://t.co/AAAT73Zvds,This tweet is fucking dumb. How are you gonna go from a guy stating his preference to saying he wouldn't fuck a cru… https://t.co/AAAT73Zvds
836,24-07-2020 06:58,1.29E+18,"RT @fulljungleazn: @AutistLvsMatter If the cops are choosing to eliminate these departments first, then they deserve to be abolished and a…","RT If the cops are choosing to eliminate these departments first, then they deserve to be abolished and a…"
837,24-07-2020 06:58,1.29E+18,I am unprivate  now fuck you dumb cunt ;),I am unprivate now fuck you dumb cunt ;)
838,24-07-2020 06:57,1.29E+18,"who the FUCK thought to bring their child to this, how dumb could someone be https://t.co/4KXK1MHveh","who the FUCK thought to bring their child to this, how dumb could someone be https://t.co/4KXK1MHveh"
839,24-07-2020 06:57,1.29E+18,@goblincock64  Dont worry this day on I will check the Guinness book of records for the biggest Dumb Fuck I'm sure… https://t.co/A0kR90P8qM,Dont worry this day on I will check the Guinness book of records for the biggest Dumb Fuck I'm sure… https://t.co/A0kR90P8qM
840,24-07-2020 06:57,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
841,24-07-2020 06:57,1.29E+18,voice. It makes zero sense but they gotta tell you that to make us larries seen delusional and dumb. Like what in t… https://t.co/kHnc2hQ2VS,voice. It makes zero sense but they gotta tell you that to make us larries seen delusional and dumb. Like what in t… https://t.co/kHnc2hQ2VS
842,24-07-2020 06:57,1.29E+18,"When you ask them why would liam and the security guards react  that way, they are literally so dumb they answer sa… https://t.co/3zKCvSM7UM","When you ask them why would liam and the security guards react that way, they are literally so dumb they answer sa… https://t.co/3zKCvSM7UM"
843,24-07-2020 06:56,1.29E+18,@courtnesium @quaze76 @iBeen__Fly My dumb ass read this as “fuck outta here outta 10” at first I’m like what??! 😂😂😂,My dumb ass read this as “fuck outta here outta 10” at first I’m like what??! 😂😂😂
844,24-07-2020 06:55,1.29E+18,@PTAofficialpk Honestly FUCK OFF. FUCK OFF for taking away a livelihood of soo many youngsters. You can’t fucking p… https://t.co/epiQALiED7,Honestly FUCK OFF. FUCK OFF for taking away a livelihood of soo many youngsters. You can’t fucking p… https://t.co/epiQALiED7
845,24-07-2020 06:55,1.29E+18,"@donwinslow I don’t like to talk like this on a giant platform, in my kitchen, yes. So I’m pretending I’m in my kit… https://t.co/UOvGm6JVLx","I don’t like to talk like this on a giant platform, in my kitchen, yes. So I’m pretending I’m in my kit… https://t.co/UOvGm6JVLx"
846,24-07-2020 06:54,1.29E+18,@SANlCORE OH WHAT THE FUCK I SOUND SO DUMB,OH WHAT THE FUCK I SOUND SO DUMB
847,24-07-2020 06:53,1.29E+18,"@theofficertatum u haven't over come ur stupidity, so riddle me that. I guess u were born dumb as fuck. Wait to see if u can over it. 🤣","u haven't over come ur stupidity, so riddle me that. I guess u were born dumb as fuck. Wait to see if u can over it. 🤣"
848,24-07-2020 06:53,1.29E+18,what the fuck is wrong with people I swear... who the fuck raised that dumb bitch from la serna,what the fuck is wrong with people I swear... who the fuck raised that dumb bitch from la serna
849,24-07-2020 06:53,1.29E+18,Articles that talk about safe ways to perform potentially dangerous sex acts are fucking crucial. People enjoy it a… https://t.co/Daz8OphSmB,Articles that talk about safe ways to perform potentially dangerous sex acts are fucking crucial. People enjoy it a… https://t.co/Daz8OphSmB
850,24-07-2020 06:52,1.29E+18,He was dumb as fuck but very brave and he's my son https://t.co/ZA5BbtVUwH,He was dumb as fuck but very brave and he's my son https://t.co/ZA5BbtVUwH
